page_id,section_number,section_title,label,url,relativePath,padded,parentID,parent_title
483324,,The ADAPT WeBWorK Handbook,The ADAPT WeBWorK Handbook,https://chem.libretexts.org/Workbench/Writing_Automated_Questions_using_WeBWork_in_ADAPT,,Writing_Automated_Questions_using_WeBWork_in_ADAPT,,
483326,,Front Matter,Front Matter,https://chem.libretexts.org/Workbench/Writing_Automated_Questions_using_WeBWork_in_ADAPT/00%3A_Front_Matter,/00%3A_Front_Matter,00%3A_Front_Matter,483324,The ADAPT WeBWorK Handbook
483327,01,TitlePage,01:_TitlePage,https://chem.libretexts.org/Workbench/Writing_Automated_Questions_using_WeBWork_in_ADAPT/00%3A_Front_Matter/01%3A_TitlePage,/00%3A_Front_Matter/01%3A_TitlePage,01%3A_TitlePage,483326,Front Matter
483328,02,InfoPage,02:_InfoPage,https://chem.libretexts.org/Workbench/Writing_Automated_Questions_using_WeBWork_in_ADAPT/00%3A_Front_Matter/02%3A_InfoPage,/00%3A_Front_Matter/02%3A_InfoPage,02%3A_InfoPage,483326,Front Matter
483329,03,Table_of_Contents,03:_Table_of_Contents,https://chem.libretexts.org/Workbench/Writing_Automated_Questions_using_WeBWork_in_ADAPT/00%3A_Front_Matter/03%3A_Table_of_Contents,/00%3A_Front_Matter/03%3A_Table_of_Contents,03%3A_Table_of_Contents,483326,Front Matter
483330,,Licensing,Licensing,https://chem.libretexts.org/Workbench/Writing_Automated_Questions_using_WeBWork_in_ADAPT/00%3A_Front_Matter/04%3A_Licensing,/00%3A_Front_Matter/04%3A_Licensing,04%3A_Licensing,483326,Front Matter
488650,1,Introduction,1: Introduction,https://chem.libretexts.org/Workbench/Writing_Automated_Questions_using_WeBWork_in_ADAPT/01%3A_Introduction,/01%3A_Introduction,01%3A_Introduction,483324,The ADAPT WeBWorK Handbook
488652,1.1,What is WeBWorK,1.1: What is WeBWorK,https://chem.libretexts.org/Workbench/Writing_Automated_Questions_using_WeBWork_in_ADAPT/01%3A_Introduction/1.01%3A_What_is_WeBWorK,/01%3A_Introduction/1.01%3A_What_is_WeBWorK,1.01%3A_What_is_WeBWorK,488650,1: Introduction
488653,1.2,Why use WeBWorK,1.2: Why use WeBWorK,https://chem.libretexts.org/Workbench/Writing_Automated_Questions_using_WeBWork_in_ADAPT/01%3A_Introduction/1.02%3A_Why_use_WeBWorK,/01%3A_Introduction/1.02%3A_Why_use_WeBWorK,1.02%3A_Why_use_WeBWorK,488650,1: Introduction
488654,1.3,Key Features of WeBWorK,1.3: Key Features of WeBWorK,https://chem.libretexts.org/Workbench/Writing_Automated_Questions_using_WeBWork_in_ADAPT/01%3A_Introduction/1.03%3A_Key_Features_of_WeBWorK,/01%3A_Introduction/1.03%3A_Key_Features_of_WeBWorK,1.03%3A_Key_Features_of_WeBWorK,488650,1: Introduction
555107,1.4,Comparing WeBWorK to other formats,1.4: Comparing WeBWorK to other formats,https://chem.libretexts.org/Workbench/Writing_Automated_Questions_using_WeBWork_in_ADAPT/01%3A_Introduction/1.04%3A_Comparing_WeBWorK_to_other_formats,/01%3A_Introduction/1.04%3A_Comparing_WeBWorK_to_other_formats,1.04%3A_Comparing_WeBWorK_to_other_formats,488650,1: Introduction
555734,1.5,Common_terms_and_names,1.5: Common_terms_and_names,https://chem.libretexts.org/Workbench/Writing_Automated_Questions_using_WeBWork_in_ADAPT/01%3A_Introduction/1.05%3A_Common_terms_and_names,/01%3A_Introduction/1.05%3A_Common_terms_and_names,1.05%3A_Common_terms_and_names,488650,1: Introduction
555187,1.6,Quickstart- Edit Your First Problem,1.6: Quickstart- Edit Your First Problem,https://chem.libretexts.org/Workbench/Writing_Automated_Questions_using_WeBWork_in_ADAPT/01%3A_Introduction/1.06%3A_Quickstart-_Edit_Your_First_Problem,/01%3A_Introduction/1.06%3A_Quickstart-_Edit_Your_First_Problem,1.06%3A_Quickstart-_Edit_Your_First_Problem,488650,1: Introduction
488655,2,Problem Generation (PG),2: Problem Generation (PG),https://chem.libretexts.org/Workbench/Writing_Automated_Questions_using_WeBWork_in_ADAPT/02%3A_Problem_Generation_(PG),/02%3A_Problem_Generation_(PG),02%3A_Problem_Generation_(PG),483324,The ADAPT WeBWorK Handbook
488656,2.1,Introduction to PG Language,2.1: Introduction to PG Language,https://chem.libretexts.org/Workbench/Writing_Automated_Questions_using_WeBWork_in_ADAPT/02%3A_Problem_Generation_(PG)/2.01%3A_Introduction_to_PG_Language,/02%3A_Problem_Generation_(PG)/2.01%3A_Introduction_to_PG_Language,2.01%3A_Introduction_to_PG_Language,488655,2: Problem Generation (PG)
557378,2.2,OPL Header and Metadata,2.2: OPL Header and Metadata,https://chem.libretexts.org/Workbench/Writing_Automated_Questions_using_WeBWork_in_ADAPT/02%3A_Problem_Generation_(PG)/2.02%3A_OPL_Header_and_Metadata,/02%3A_Problem_Generation_(PG)/2.02%3A_OPL_Header_and_Metadata,2.02%3A_OPL_Header_and_Metadata,488655,2: Problem Generation (PG)
488657,2.3,PG Problem Files with a .pg file extension,2.3: PG Problem Files with a .pg file extension,https://chem.libretexts.org/Workbench/Writing_Automated_Questions_using_WeBWork_in_ADAPT/02%3A_Problem_Generation_(PG)/2.03%3A_PG_Problem_Files_with_a_.pg_file_extension,/02%3A_Problem_Generation_(PG)/2.03%3A_PG_Problem_Files_with_a_.pg_file_extension,2.03%3A_PG_Problem_Files_with_a_.pg_file_extension,488655,2: Problem Generation (PG)
488658,2.4,Sections within a PG question,2.4: Sections within a PG question,https://chem.libretexts.org/Workbench/Writing_Automated_Questions_using_WeBWork_in_ADAPT/02%3A_Problem_Generation_(PG)/2.04%3A_Sections_within_a_PG_question,/02%3A_Problem_Generation_(PG)/2.04%3A_Sections_within_a_PG_question,2.04%3A_Sections_within_a_PG_question,488655,2: Problem Generation (PG)
488659,2.5,Common PG Macros,2.5: Common PG Macros,https://chem.libretexts.org/Workbench/Writing_Automated_Questions_using_WeBWork_in_ADAPT/02%3A_Problem_Generation_(PG)/2.05%3A_Common_PG_Macros,/02%3A_Problem_Generation_(PG)/2.05%3A_Common_PG_Macros,2.05%3A_Common_PG_Macros,488655,2: Problem Generation (PG)
555742,2.6,Legacy PG and deprecated patterns,2.6: Legacy PG and deprecated patterns,https://chem.libretexts.org/Workbench/Writing_Automated_Questions_using_WeBWork_in_ADAPT/02%3A_Problem_Generation_(PG)/2.06%3A_Legacy_PG_and_deprecated_patterns,/02%3A_Problem_Generation_(PG)/2.06%3A_Legacy_PG_and_deprecated_patterns,2.06%3A_Legacy_PG_and_deprecated_patterns,488655,2: Problem Generation (PG)
488660,3,PGML (PG Markup Language),3: PGML (PG Markup Language),https://chem.libretexts.org/Workbench/Writing_Automated_Questions_using_WeBWork_in_ADAPT/03%3A_PGML_(PG_Markup_Language),/03%3A_PGML_(PG_Markup_Language),03%3A_PGML_(PG_Markup_Language),483324,The ADAPT WeBWorK Handbook
